warehouse_name,date,storage,next_day_storage
Bath Towels,2024-05-03,31,31.0
Bath Towels,2024-05-04,31,29.0
Bath Towels,2024-05-05,29,40.0
Bath Towels,2024-05-06,40,81.0
Bath Towels,2024-05-07,81,82.0
Bath Towels,2024-05-08,82,44.0
Bath Towels,2024-05-09,44,35.0
Bath Towels,2024-05-10,35,33.0
Bath Towels,2024-05-11,33,31.0
Bath Towels,2024-05-12,31,34.0
Bath Towels,2024-05-13,34,33.0
Bath Towels,2024-05-14,33,32.0
Bath Towels,2024-05-15,32,43.0
Bath Towels,2024-05-16,43,103.0
Bath Towels,2024-05-17,103,78.0
Bath Towels,2024-05-18,78,23.0
Bath Towels,2024-05-19,23,20.0
Bath Towels,2024-05-20,20,19.0
Bath Towels,2024-05-21,19,19.0
Bath Towels,2024-05-22,19,18.0
Bath Towels,2024-05-23,18,22.0
Bath Towels,2024-05-24,22,19.0
Bath Towels,2024-05-25,19,20.0
Bath Towels,2024-05-26,20,21.0
Bath Towels,2024-05-27,21,21.0
Bath Towels,2024-05-28,21,21.0
Bath Towels,2024-05-29,21,21.0
Bath Towels,2024-05-30,21,20.0
Bath Towels,2024-05-31,20,20.0
Bath Towels,2024-06-01,20,21.0
Bath Towels,2024-06-02,21,21.0
Bath Towels,2024-06-03,21,21.0
Bath Towels,2024-06-04,21,20.0
Bath Towels,2024-06-05,20,
Batteries,2024-02-05,15,11.0
Batteries,2024-02-06,11,10.0
Batteries,2024-02-07,10,8.0
Batteries,2024-02-08,8,7.0
Batteries,2024-02-09,7,6.0
Batteries,2024-02-10,6,8.0
Batteries,2024-02-11,8,7.0
Batteries,2024-02-12,7,8.0
Batteries,2024-02-13,8,8.0
Batteries,2024-02-14,8,7.0
Batteries,2024-02-15,7,7.0
Batteries,2024-02-16,7,7.0
Batteries,2024-02-17,7,7.0
Batteries,2024-02-18,7,7.0
Batteries,2024-02-19,7,8.0
Batteries,2024-02-20,8,7.0
Batteries,2024-02-21,7,7.0
Batteries,2024-02-22,7,6.0
Batteries,2024-02-23,6,6.0
Batteries,2024-02-24,6,6.0
Batteries,2024-02-25,6,7.0
Batteries,2024-02-26,7,7.0
Batteries,2024-02-27,7,7.0
Batteries,2024-02-28,7,7.0
Batteries,2024-02-29,7,7.0
Batteries,2024-03-01,7,8.0
Batteries,2024-03-02,8,9.0
Batteries,2024-03-03,9,9.0
Batteries,2024-03-04,9,9.0
Batteries,2024-03-05,9,8.0
Batteries,2024-03-06,8,7.0
Batteries,2024-03-07,7,6.0
Batteries,2024-03-08,6,7.0
Batteries,2024-03-09,7,7.0
Batteries,2024-03-10,7,5.0
Batteries,2024-03-11,5,6.0
Batteries,2024-03-12,6,5.0
Batteries,2024-03-13,5,5.0
Batteries,2024-03-14,5,5.0
Batteries,2024-03-15,5,6.0
Batteries,2024-03-16,6,7.0
Batteries,2024-03-17,7,6.0
Batteries,2024-03-18,6,6.0
Batteries,2024-03-19,6,7.0
Batteries,2024-03-20,7,7.0
Batteries,2024-03-21,7,8.0
Batteries,2024-03-22,8,8.0
Batteries,2024-03-23,8,9.0
Batteries,2024-03-24,9,8.0
Batteries,2024-03-25,8,8.0
Batteries,2024-03-26,8,8.0
Batteries,2024-03-27,8,9.0
Batteries,2024-03-28,9,8.0
Batteries,2024-03-29,8,8.0
Batteries,2024-03-30,8,9.0
Batteries,2024-03-31,9,8.0
Batteries,2024-04-01,8,6.0
Batteries,2024-04-02,6,8.0
Batteries,2024-04-03,8,8.0
Batteries,2024-04-04,8,8.0
Batteries,2024-04-05,8,8.0
Batteries,2024-04-06,8,6.0
Batteries,2024-04-07,6,6.0
Batteries,2024-04-08,6,6.0
Batteries,2024-04-09,6,5.0
Batteries,2024-04-10,5,5.0
Batteries,2024-04-11,5,5.0
Batteries,2024-04-12,5,5.0
Batteries,2024-04-13,5,5.0
Batteries,2024-04-14,5,5.0
Batteries,2024-04-15,5,5.0
Batteries,2024-04-16,5,6.0
Batteries,2024-04-17,6,6.0
Batteries,2024-04-18,6,6.0
Batteries,2024-04-19,6,6.0
Batteries,2024-04-20,6,7.0
Batteries,2024-04-21,7,6.0
Batteries,2024-04-22,6,7.0
Batteries,2024-04-23,7,6.0
Batteries,2024-04-24,6,6.0
Batteries,2024-04-25,6,6.0
Batteries,2024-04-26,6,6.0
Batteries,2024-04-27,6,6.0
Batteries,2024-04-28,6,7.0
Batteries,2024-04-29,7,7.0
Batteries,2024-04-30,7,7.0
Batteries,2024-05-01,7,7.0
Batteries,2024-05-02,7,6.0
Batteries,2024-05-03,6,6.0
Batteries,2024-05-04,6,8.0
Batteries,2024-05-05,8,8.0
Batteries,2024-05-06,8,7.0
Batteries,2024-05-07,7,8.0
Batteries,2024-05-08,8,7.0
Batteries,2024-05-09,7,5.0
Batteries,2024-05-10,5,5.0
Batteries,2024-05-11,5,6.0
Batteries,2024-05-12,6,6.0
Batteries,2024-05-13,6,5.0
Batteries,2024-05-14,5,6.0
Batteries,2024-05-15,6,6.0
Batteries,2024-05-16,6,7.0
Batteries,2024-05-17,7,7.0
Batteries,2024-05-18,7,6.0
Batteries,2024-05-19,6,6.0
Batteries,2024-05-20,6,7.0
Batteries,2024-05-21,7,8.0
Batteries,2024-05-22,8,8.0
Batteries,2024-05-23,8,6.0
Batteries,2024-05-24,6,6.0
Batteries,2024-05-25,6,6.0
Batteries,2024-05-26,6,6.0
Batteries,2024-05-27,6,7.0
Batteries,2024-05-28,7,7.0
Batteries,2024-05-29,7,7.0
Batteries,2024-05-30,7,6.0
Batteries,2024-05-31,6,6.0
Batteries,2024-06-01,6,7.0
Batteries,2024-06-02,7,7.0
Batteries,2024-06-03,7,8.0
Batteries,2024-06-04,8,8.0
Batteries,2024-06-05,8,
Bleach,2024-02-05,15,16.0
Bleach,2024-02-06,16,16.0
Bleach,2024-02-07,16,21.0
Bleach,2024-02-08,21,16.0
Bleach,2024-02-09,16,15.0
Bleach,2024-02-10,15,16.0
Bleach,2024-02-11,16,16.0
Bleach,2024-02-12,16,17.0
Bleach,2024-02-13,17,19.0
Bleach,2024-02-14,19,20.0
Bleach,2024-02-15,20,18.0
Bleach,2024-02-16,18,17.0
Bleach,2024-02-17,17,16.0
Bleach,2024-02-18,16,19.0
Bleach,2024-02-19,19,19.0
Bleach,2024-02-20,19,22.0
Bleach,2024-02-21,22,21.0
Bleach,2024-02-22,21,22.0
Bleach,2024-02-23,22,18.0
Bleach,2024-02-24,18,19.0
Bleach,2024-02-25,19,21.0
Bleach,2024-02-26,21,22.0
Bleach,2024-02-27,22,22.0
Bleach,2024-02-28,22,22.0
Bleach,2024-02-29,22,21.0
Bleach,2024-03-01,21,22.0
Bleach,2024-03-02,22,18.0
Bleach,2024-03-03,18,22.0
Bleach,2024-03-04,22,21.0
Bleach,2024-03-05,21,21.0
Bleach,2024-03-06,21,22.0
Bleach,2024-03-07,22,18.0
Bleach,2024-03-08,18,20.0
Bleach,2024-03-09,20,17.0
Bleach,2024-03-10,17,16.0
Bleach,2024-03-11,16,18.0
Bleach,2024-03-12,18,18.0
Bleach,2024-03-13,18,22.0
Bleach,2024-03-14,22,22.0
Bleach,2024-03-15,22,18.0
Bleach,2024-03-16,18,17.0
Bleach,2024-03-17,17,21.0
Bleach,2024-03-18,21,21.0
Bleach,2024-03-19,21,19.0
Bleach,2024-03-20,19,19.0
Bleach,2024-03-21,19,21.0
Bleach,2024-03-22,21,19.0
Bleach,2024-03-23,19,17.0
Bleach,2024-03-24,17,15.0
Bleach,2024-03-25,15,22.0
Bleach,2024-03-26,22,22.0
Bleach,2024-03-27,22,21.0
Bleach,2024-03-28,21,17.0
Bleach,2024-03-29,17,16.0
Bleach,2024-03-30,16,19.0
Bleach,2024-03-31,19,25.0
Bleach,2024-04-01,25,25.0
Bleach,2024-04-02,25,22.0
Bleach,2024-04-03,22,19.0
Bleach,2024-04-04,19,16.0
Bleach,2024-04-05,16,12.0
Bleach,2024-04-06,12,11.0
Bleach,2024-04-07,11,13.0
Bleach,2024-04-08,13,11.0
Bleach,2024-04-09,11,14.0
Bleach,2024-04-10,14,16.0
Bleach,2024-04-11,16,15.0
Bleach,2024-04-12,15,21.0
Bleach,2024-04-13,21,19.0
Bleach,2024-04-14,19,22.0
Bleach,2024-04-15,22,21.0
Bleach,2024-04-16,21,21.0
Bleach,2024-04-17,21,23.0
Bleach,2024-04-18,23,20.0
Bleach,2024-04-19,20,21.0
Bleach,2024-04-20,21,18.0
Bleach,2024-04-21,18,18.0
Bleach,2024-04-22,18,20.0
Bleach,2024-04-23,20,21.0
Bleach,2024-04-24,21,21.0
Bleach,2024-04-25,21,20.0
Bleach,2024-04-26,20,19.0
Bleach,2024-04-27,19,18.0
Bleach,2024-04-28,18,23.0
Bleach,2024-04-29,23,27.0
Bleach,2024-04-30,27,25.0
Bleach,2024-05-01,25,27.0
Bleach,2024-05-02,27,25.0
Bleach,2024-05-03,25,24.0
Bleach,2024-05-04,24,21.0
Bleach,2024-05-05,21,24.0
Bleach,2024-05-06,24,29.0
Bleach,2024-05-07,29,22.0
Bleach,2024-05-08,22,26.0
Bleach,2024-05-09,26,23.0
Bleach,2024-05-10,23,22.0
Bleach,2024-05-11,22,19.0
Bleach,2024-05-12,19,23.0
Bleach,2024-05-13,23,21.0
Bleach,2024-05-14,21,22.0
Bleach,2024-05-15,22,25.0
Bleach,2024-05-16,25,22.0
Bleach,2024-05-17,22,28.0
Bleach,2024-05-18,28,19.0
Bleach,2024-05-19,19,22.0
Bleach,2024-05-20,22,18.0
Bleach,2024-05-21,18,19.0
Bleach,2024-05-22,19,26.0
Bleach,2024-05-23,26,22.0
Bleach,2024-05-24,22,19.0
